"trackID","artistName","trackName","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"0GQo5VkiurD6HnVpaCNeMf","Queen","I Want It All",0.228,0.708,11,-9.921,0,0.0438,0.0301,0.00012,0.205,0.412,92.31,272973,4
"6eKPSagnVU7gygR8Dm132W","Yes","Changes",0.546,0.904,2,-7.082,0,0.0534,0.436,0.00329,0.083,0.327,125.193,380120,4
"7JC0CAFGIXFEQIAfcx19p1","Rush","The Main Monkey Business - Snakes & Arrows Live Version",0.144,0.959,9,-3.999,0,0.0752,1.5e-05,0.842,0.951,0.438,161.934,366307,4
"7appAENhuEWDcVtFAzxF3m","Rush","Far Cry - Live R40 Tour",0.323,0.922,9,-6.124,1,0.0468,5.64e-05,0.00913,0.983,0.582,126.258,331515,4
"43DHLzDkncpby82Po5jlOZ","Queen","Don't Stop Me Now",0.561,0.757,5,-10.061,1,0.192,0.0563,0.00127,0.558,0.64,156.432,209560,4
"0ducHx1R45CnEloZ6tUVuC","Led Zeppelin","Babe I'm Gonna Leave You - Remaster",0.408,0.465,4,-11.772,0,0.0338,0.365,6.01e-05,0.215,0.151,135.668,402920,4
"0pT7Vws8MhBLXx7rwqOwMD","Rush","The Pass",0.706,0.611,10,-10.699,1,0.0281,0.0337,0.0211,0.135,0.798,114.732,290653,4
"2TZFIU3tMAQNhMfcFWPTUb","Queen","All Dead, All Dead",0.483,0.0568,5,-16.116,1,0.0351,0.75,9.47e-05,0.142,0.272,87.856,189973,4
"3Wdd3odOmELr46XR4MQohR","Rush","Virtuality",0.528,0.907,7,-5.683,1,0.0494,0.000108,0.114,0.298,0.544,120.05,343627,4
"1Eh0FDAab5TnUdsBquNGRp","Rush","The Pass - Rio Live",0.407,0.901,10,-7.182,1,0.0338,0.000142,0.129,0.846,0.664,116.186,292333,4
"1F10hpkS0xntdnTZ4bIjTp","The Who","The Song Is Over",0.36,0.652,5,-7.552,1,0.0443,0.47,0.00118,0.101,0.265,106.46,376613,4
"5G7uLHtoEW140QOcBpJlfz","Led Zeppelin","What Is and What Should Never Be - 1990 Remaster",0.34,0.472,9,-12.939,1,0.0473,0.275,0,0.0843,0.533,78.086,283973,4
"6hyjl7z58fwPpx8273ilOC","Queen","Play The Game",0.391,0.493,5,-11.945,1,0.0306,0.244,6.03e-06,0.452,0.334,78.486,210933,4
"5LoEFpFcFXm6JMQIT9DOK1","Queen","Is This the World We Created? - Live At Wembley Stadium / July 1986",0.241,0.505,1,-6.997,1,0.0387,0.802,1.94e-05,0.734,0.1,83.434,178440,5
"6waXFDVC58SypD8lwdRSt7","Rush","Clockwork Angels (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour]",0.187,0.917,11,-4.294,0,0.0752,0.0402,0.00174,0.978,0.183,119.247,492640,4
"4fW8PJ4ks1DEnBMSZAskuG","Rush","Dreamline",0.509,0.769,9,-8.295,1,0.0356,0.0514,0.936,0.107,0.466,144.921,276875,4
"4Tkj9RvmubJDFw9NzJInW2","Rush","La Villa Strangiato - Rio Live",0.235,0.796,0,-8.802,1,0.0566,0.000353,0.806,0.476,0.0782,135.421,605053,4
"5iizMR06EEjsYFFuJmxfVI","Queen","Tie Your Mother Down",0.376,0.887,9,-5.868,1,0.0736,0.000483,0.000863,0.203,0.337,134.884,226840,4
"3n3dOTV7F5AOuE2mA5K57m","Roger Taylor","Sunny Day",0.395,0.606,0,-8.114,1,0.0284,0.226,4.75e-06,0.0844,0.226,81.038,217880,3
"4cNbyAcAo6UtMussyOOJUa","Rush","Vital Signs - Rio Live",0.342,0.933,8,-5.019,1,0.0688,0.00663,7.72e-05,0.963,0.391,141.479,299000,4
